title,runtime,des,date,rating,genre
Last Christmas,103,"    Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",2019,6.6,"Comedy, Drama, Romance            "
The King,140,"    Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",2019,7.3,"Biography, Drama, History            "
Earthquake Bird,107,"    An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.",2019,5.9,"Crime, Drama, Mystery            "
Lady and the Tramp,103,    CGI re-imagining of the 1955 Disney classic.,2019,6.4,"Adventure, Comedy, Drama            "
Game of Thrones,57,"    Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",2019,9.4,"Action, Adventure, Drama            "
Grey's Anatomy,41,    A drama centered on the personal and professional lives of five surgical interns and their supervisors.,2005,7.6,"Drama, Romance            "
The End of the F***ing World,25,"    James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.",2017,8.1,"Adventure, Comedy, Crime            "
The Knight Before Christmas,92,    A medieval English knight is magically transported to the present day where he falls for a high school science teacher who is disillusioned by love.,2019,5.6,"Adventure, Comedy, Drama            "
Vikings,44,"    Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",2013,8.6,"Action, Adventure, Drama            "
The Good Place,22,    Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,2016,8.1,"Comedy, Drama, Fantasy            "
Friends,22,    Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,2004,8.9,"Comedy, Romance            "
This Is Us,45,"    A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",2016,8.7,"Comedy, Drama, Romance            "
Let It Snow,92,"    In a small town on Christmas Eve, a snowstorm brings together a group of young people.",2019,5.8,"Comedy, Romance            "
Outlander,64,    An English combat nurse from 1945 is mysteriously swept back in time to 1743.,2014,8.4,"Drama, Fantasy, Romance            "
Riverdale,45,"    While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",2017,7.1,"Crime, Drama, Mystery            "
The Big Bang Theory,22,    A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,2019,8.1,"Comedy, Romance            "
Marriage Story,136,    Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,2019,8.4,"Comedy, Drama, Romance            "
Modern Family,22,    Three different but related families face trials and tribulations in their own uniquely comedic ways.,2009,8.4,"Comedy, Drama, Romance            "
Modern Love,32,"    TV series based on the New York Times' column that explores relationships, love and the human connection.",2019,8.1,"Comedy, Romance            "
Yesterday,116,    A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,2019,6.9,"Comedy, Fantasy, Music            "
Aladdin,128,    A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,2019,7.1,"Adventure, Family, Fantasy            "
Little Women,134,    Four sisters come of age in America in the aftermath of the Civil War.,2019,0,"Drama, Romance            "
Big Mouth,30,    Teenage friends find their lives upended by the wonders and horrors of puberty.,2017,8.0,"Animation, Comedy, Romance            "
How I Met Your Mother,22,"    A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",2014,8.3,"Comedy, Romance            "
A Million Little Things,43,    A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.,2018,7.9,"Comedy, Drama, Mystery            "
Write Before Christmas,43,"    The film's Love Actually-esque premise revolves around the recently single Jessica (DeVitto), who sends Christmas cards to five people who have influenced her life: the aunt (Davidovich) ...                See full summary »",2019,7.3,Romance            
Victorious,30,    Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.,2013,6.8,"Comedy, Drama, Family            "
After,105,    A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,2019,5.4,"Drama, Romance            "
You,45,    A clever bookstore manager relies on his savvy Internet know-how to make the woman of his dreams fall in love with him.,2018,7.7,"Crime, Drama, Romance            "
Official Secrets,112,    The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.,2019,7.3,"Biography, Drama, Romance            "
Downton Abbey,58,    A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,2015,8.7,"Drama, Romance            "
The Vampire Diaries,43,"    The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",2017,7.7,"Drama, Fantasy, Horror            "
Waves,136,"    Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",2019,7.7,"Drama, Romance, Sport            "
Two and a Half Men,22,    A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,2015,7.0,"Comedy, Romance            "
Poldark,60,"    Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.",2015,8.3,"Drama, History, Romance            "
"Love, Actually",135,"    Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",2003,7.6,"Comedy, Drama, Romance            "
Bones,40,"    Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.",2017,7.8,"Comedy, Crime, Drama            "
Holiday in the Wild,85,"    Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent alone where she meets an elephant conservationist.",2019,6.1,"Comedy, Drama, Romance            "
