title,runtime,des,date,genre,cast,director,vote,gross,rating
Star Wars: Episode VIII - The Last Jedi,151,"    Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",2017,"Action, Adventure, Fantasy            ","Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher",Rian Johnson,511977,$620.18M,7.0
Game of Thrones,57,"    Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",2019,"Action, Adventure, Drama            ","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",,1624187,,9.3
Vikings,44,"    Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",2013,"Action, Adventure, Drama            ","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",,367194,,8.6
Star Wars: Episode VII - The Force Awakens,138,"    Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.",2015,"Action, Adventure, Sci-Fi            ","Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",J.J. Abrams,818309,$936.66M,7.9
Rogue One: A Star Wars Story,133,    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,2016,"Action, Adventure, Sci-Fi            ","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",Gareth Edwards,511959,$532.18M,7.8
Jumanji: Welcome to the Jungle,119,"    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",2017,"Action, Adventure, Comedy            ","Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",Jake Kasdan,277112,$404.52M,6.9
Solo: A Star Wars Story,135,"    During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",2018,"Action, Adventure, Sci-Fi            ","Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",Ron Howard,255346,$213.77M,6.9
Jack Ryan,60,"    An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.",2018,"Action, Drama, Thriller            ","John Krasinski, Wendell Pierce, John Hoogenakker, Abbie Cornish",,71763,,8.1
Money Heist,70,    A group of unique robbers assault the Factory of Moneda and Timbre to carry out the most perfect robbery in the history of Spain and take home 2.4 billion euros.,2017,"Action, Crime, Mystery            ","Úrsula Corberó, Itziar Ituño, Álvaro Morte, Pedro Alonso",,182002,,8.5
Arrow,42,"    Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",2012,"Action, Adventure, Crime            ","Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",,391852,,7.6
The Witcher 3: Wild Hunt - A Night to Remember,4,"    Geralt rejoins his long-lost lover, Yennefer, in the town of White Orchard. Yennefer tells him that Emperor Emhyr has summoned him to the city of Vizima. Emhyr tasks Geralt with finding Ciri, who has recently been seen in several places.",2015,"Short, Action, Adventure            ","Doug Cockle, Laura Doddington, Jozsef Fodor, Mark Lewis Jones",István Zorkóczy,3031,,9.9
Killing Eve,42,"    After a series of events, the lives of a security operative and an assassin become inextricably linked.",2018,"Action, Adventure, Drama            ","Sandra Oh, Jodie Comer, Fiona Shaw, Kim Bodnia",,59071,,8.3
Wiedzmin 3: Dziki Gon,0,"    Geralt of Rivia, a monster hunter for hire, embarks on an epic journey to find his former apprentice, Ciri, before The Wild Hunt can capture her and bring about the destruction of the world.",2015,"Action, Adventure, Drama            ","Doug Cockle, Denise Gough, Jo Wyatt, Jaimi Barbakoff",Konrad Tomaszkiewicz,15959,,9.7
The Flash,43,"    After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.",2014,"Action, Adventure, Drama            ","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",,288769,,7.8
Runaways,60,"    After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins.",2019,"Action, Drama, Sci-Fi            ","Rhenzy Feliz, Lyrica Okano, Virginia Gardner, Ariela Barer",,19122,,7.1
Mission: Impossible - Fallout,147,"    Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",2018,"Action, Adventure, Thriller            ","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Christopher McQuarrie,257745,$220.16M,7.8
The Last Kingdom,60,"    As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",2015,"Action, Drama, History            ","Alexander Dreymon, Ian Hart, David Dawson, Eliza Butterworth",,58713,,8.3
Supergirl,43,    The adventures of Superman's cousin in her own superhero career.,2015,"Action, Adventure, Drama            ","Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks",,103355,,6.3
Chicago Fire,43,"    The story of firefighters in Chicago, both on a personal and professional level.",2012,"Action, Drama            ","Jesse Spencer, Taylor Kinney, Joe Minoso, Christian Stolte",,31890,,7.9
Star Trek: Discovery,60,"    Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",2017,"Action, Adventure, Drama            ","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",,75710,,7.4
Titans,45,    A team of young superheroes combat evil and other perils.,2018,"Action, Adventure, Crime            ","Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter",,51657,,7.9
Skyfall,143,"    James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",2012,"Action, Adventure, Thriller            ","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",Sam Mendes,604069,$304.36M,7.7
Avengers: Infinity War,149,    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,"Action, Adventure, Sci-Fi            ","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Anthony Russo, Joe Russo",737285,$678.82M,8.5
Altered Carbon,60,"    Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.",2018,"Action, Drama, Sci-Fi            ","Chris Conner, Renée Elise Goldsberry, Joel Kinnaman, James Purefoy",,113705,,8.1
Star Wars Rebels,22,    A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,2018,"Animation, Action, Adventure            ","Taylor Gray, Dave Filoni, Vanessa Marshall, Freddie Prinze Jr.",,23774,,8.0
Deadpool,108,"    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",2016,"Action, Adventure, Comedy            ","Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",Tim Miller,852681,$363.07M,8.0
Gotham,42,    The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,2019,"Action, Crime, Drama            ","Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova",,202183,,7.8
