title,runtime,des,date,genre,cast,director,vote,gross,rating
Rick and Morty,23,    An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,2013,"Animation, Adventure, Comedy            ","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",,308799,,9.3
Frozen,102,"    When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",2013,"Animation, Adventure, Comedy            ","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Directors:Chris Buck, Jennifer Lee",537789,$400.74M,7.5
BoJack Horseman,25,"    BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014,"Animation, Comedy, Drama            ","Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",,80475,,8.6
Star Wars Rebels,22,    A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,2018,"Animation, Action, Adventure            ","Taylor Gray, Dave Filoni, Vanessa Marshall, Freddie Prinze Jr.",,23428,,8.0
Big Mouth,30,    Teenage friends find their lives upended by the wonders and horrors of puberty.,2017,"Animation, Comedy, Romance            ","Nick Kroll, John Mulaney, Jessi Klein, Jenny Slate",,44590,,8.0
Bob's Burgers,22,"    Bob Belcher, along with his wife and 3 children, try to run their last hope of holding the family together, which is running Bob's dream restaurant.",2011,"Animation, Comedy            ","H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts",,58946,,8.1
Final Space,30,    An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,2018,"Animation, Action, Adventure            ","Fred Armisen, Tom Kenny, Olan Rogers, Tika Sumpter",,26494,,8.4
Attack on Titan,24,"    After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",2013,"Animation, Action, Adventure            ","Marina Inoue, Yûki Kaji, Yui Ishikawa, Josh Grelle",,132121,,8.8
Steven Universe,11,"    A team of intergalactic warriors fights to protect the universe, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.",2013,"Animation, Action, Adventure            ","Zach Callison, Deedee Magno, Michaela Dietz, Estelle",,22639,,8.3
Arthur Christmas,97,    Santa's clumsy son Arthur sets out on a mission with St. Nick's father to give out a present they misplaced to a young girl in less than 2 hours.,2011,"Animation, Adventure, Comedy            ","James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie","Directors:Sarah Smith, Barry Cook",47318,$46.46M,7.1
Moana,107,"    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,"Animation, Adventure, Comedy            ","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","Directors:Ron Clements, John Musker, Don Hall, Chris Williams",238772,$248.76M,7.6
The Dragon Prince,26,"    Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.",2018,"Animation, Family, Fantasy            ","Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson",,11276,,8.4
Zootopia,108,"    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,"Animation, Adventure, Comedy            ","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","Directors:Byron Howard, Rich Moore, Jared Bush",398939,$341.27M,8.0
