title,runtime,des,date,genre,cast,director,vote,gross,rating
Rick and Morty,23,    An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,2013,"Animation, Adventure, Comedy            ","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",,312422,,9.3
The Marvelous Mrs. Maisel,57,    A housewife in the 1960s decides to become a stand-up comic.,2017,"Comedy, Drama            ","Rachel Brosnahan, Michael Zegen, Marin Hinkle, Tony Shalhoub",,57117,,8.8
Shameless,46,"    A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",2011,"Comedy, Drama            ","Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White",,181378,,8.6
Jumanji: Welcome to the Jungle,119,"    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",2017,"Action, Adventure, Comedy            ","Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",Jake Kasdan,275986,$404.52M,6.9
Schitt's Creek,22,"    When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",2015,Comedy            ,"Eugene Levy, Catherine O'Hara, Annie Murphy, Dan Levy",,23785,,8.3
Office Christmas Party,105,"    When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",2016,Comedy            ,"Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston","Josh Gordon, Will Speck",63724,$54.77M,5.8
Letterkenny,30,"    Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",2016,Comedy            ,"Jared Keeso, Michelle Mylett, Nathan Dales, K. Trevor Wilson",,9514,,8.7
Frozen,102,"    When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",2013,"Animation, Adventure, Comedy            ","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Chris Buck, Jennifer Lee",539970,$400.74M,7.5
Brooklyn Nine-Nine,22,"    Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt.",2013,"Comedy, Crime            ","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",,172080,,8.4
Green Book,130,    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,2018,"Biography, Comedy, Drama            ","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",Peter Farrelly,274023,$85.08M,8.2
Paddington 2,103,"    Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",2017,"Adventure, Comedy, Family            ","Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins",Paul King,51983,$40.44M,7.8
The Good Place,22,    Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,2016,"Comedy, Drama, Fantasy            ","Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden",,78948,,8.1
Fleabag,27,    A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,2019,"Comedy, Drama            ","Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford",,50911,,8.7
The End of the F***ing World,25,"    James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.",2019,"Adventure, Comedy, Crime            ","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley",,115371,,8.1
Silicon Valley,28,"    Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",2019,Comedy            ,"Thomas Middleditch, T.J. Miller, Josh Brener, Martin Starr",,113081,,8.5
Suits,44,"    On the run from a drug deal gone bad, Mike Ross, a brilliant college dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers.",2011,"Comedy, Drama            ","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",,340309,,8.5
Krampus,98,    A boy who has a bad Christmas accidentally summons a festive demon to his family home.,2015,"Comedy, Drama, Fantasy            ","Adam Scott, Toni Collette, David Koechner, Allison Tolman",Michael Dougherty,58460,$42.59M,6.1
This Is Us,45,"    A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",2016,"Comedy, Drama, Romance            ","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",,85076,,8.7
Fuller House,30,"    In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.",2016,"Comedy, Family            ","Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",,22508,,6.8
The Night Before,101,"    On Christmas eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.",2015,"Comedy, Fantasy            ","Joseph Gordon-Levitt, Seth Rogen, Jillian Bell, Lizzy Caplan",Jonathan Levine,61439,$43.04M,6.4
Moana,107,"    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,"Animation, Adventure, Comedy            ","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","Ron Clements, John Musker, Don Hall, Chris Williams",240241,$248.76M,7.6
