title,runtime,des,date,genre,cast,director,vote,gross,rating
Mr. Robot,49,"    Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",2019,"Crime, Drama, Thriller            ","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström",,296794,,8.5
You,45,    A clever bookstore manager relies on his savvy Internet know-how to make the woman of his dreams fall in love with him.,2018,"Crime, Drama, Romance            ","Penn Badgley, Ambyr Childers, Elizabeth Lail, Luca Padovan",,74920,,7.7
Peaky Blinders,60,"    A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",2013,"Crime, Drama            ","Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",,247860,,8.8
The Blacklist,43,"    A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",2013,"Crime, Drama, Mystery            ","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold",,169978,,8.0
Arrow,42,"    Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",2012,"Action, Adventure, Crime            ","Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",,390642,,7.6
Lucifer,42,    Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,2015,"Crime, Drama, Fantasy            ","Tom Ellis, Lauren German, Kevin Alejandro, Lesley-Ann Brandt",,175428,,8.2
Ray Donovan,60,"    Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.",2013,"Crime, Drama            ","Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall",,71014,,8.3
Money Heist,70,    A group of unique robbers assault the Factory of Moneda and Timbre to carry out the most perfect robbery in the history of Spain and take home 2.4 billion euros.,2017,"Action, Crime, Mystery            ","Úrsula Corberó, Itziar Ituño, Álvaro Morte, Pedro Alonso",,179015,,8.5
Brooklyn Nine-Nine,22,"    Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt.",2013,"Comedy, Crime            ","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",,170965,,8.4
Riverdale,45,"    While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",2017,"Crime, Drama, Mystery            ","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",,98895,,7.1
How to Get Away with Murder,43,    A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,2014,"Crime, Drama, Mystery            ","Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King",,109808,,8.1
