title,runtime,des,date,genre,cast,director,vote,gross,rating
Planet Earth II,298,    David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.,2016,Documentary            ,Star:David Attenborough,,83071,,9.5
The Game Changers,108,    A UFC fighter's world is turned upside down when he discovers an elite group of world-renowned athletes and scientists who prove that everything he had been taught about protein was a lie.,2018,Documentary            ,"James Wilks, Arnold Schwarzenegger, Patrik Baboumian, Dotsie Bausch",Louie Psihoyos,9890,,8.0
The Curse of Oak Island,60,"    Rick and Marty Lagina, two brothers from Michigan with a life-long interest in the mystery of Oak Island, renew efforts to discover the legendary treasure with sophisticated machinery.",2014,"Documentary, Reality-TV            ","Robert Clotworthy, Marty Lagina, Rick Lagina, Charles Barkhouse",,3517,,7.0
Free Solo,100,    Alex Honnold attempts to become the first person to ever free solo climb El Capitan.,2018,"Documentary, Adventure, Sport            ","Alex Honnold, Tommy Caldwell, Jimmy Chin, Cheyne Lempe","Jimmy Chin, Elizabeth Chai Vasarhelyi",42429,$17.54M,8.2
Cosmos,557,    An exploration of our discovery of the laws of nature and coordinates in space and time.,2020,Documentary            ,"Neil deGrasse Tyson, Stoney Emshwiller, Piotr Michael, André Sogliuzzo",,101623,,9.3
Hot Girls Wanted,84,    A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,2015,Documentary            ,"Farrah Laurel Abraham, John Anthony, Rachel Bernard, Carrie Brooks","Jill Bauer, Ronna Gradus",14400,,6.1
Roman Empire,48,    Chronicles some of the most famous leaders of the Roman Civilization.,2016,"Documentary, Biography, Drama            ","Aaron Irvin, Sean Bean, Aaron Jakubenko, Edwin Wright",,3962,,6.9
The Incredible Dr. Pol,44,"    With more than 20,000 patients, Dr. Pol has seen it all. Specializing in large farm animals, this senior is anything but retiring as he takes an old school, no-nonsense approach to veterinary medicine.",2011,"Documentary, Reality-TV            ","Jan Pol, Diane Pol, Charles Pol, Ari Rubin",,931,,8.7
Making a Murderer,60,"    Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",2015,"Documentary, Crime            ","Dolores Avery, Steven Avery, Laura Nirider, Ken Kratz",,80207,,8.6
Fantasy Flirt,25,"    A high energy mix of the newest and sexiest girls to pose for Playboy. Models share their turn-ons, fantasies and secret desires while taking it all off for the cameras.",2018,"Documentary, Reality-TV            ","Elle Georgia, Ali Rose, Pamela, Lauren Rosas",,25,,7.0
Homicide Hunter: Lt. Joe Kenda,43,    Lt. Joe Kenda solves cases.,2011,"Documentary, Crime            ","Josh Casaubon, Carl Marino, Joe Kenda, Sandra Mann",,2362,,8.8
The Repair Shop,30,"    Some of Britain's most skilled restoration experts breathe new life into much-cherished family heirlooms that are dropped off by members of the public, who reveal the personal stories behind the items.",2017,"Documentary, Reality-TV            ","Jay Blades, Steven Fletcher, William Kirk, Robert Pugh",,339,,8.6
Explained,18,    A documentary series that looks to explore the big questions of today.,2018,Documentary            ,"Estelle Caswell, Maria Bello, Kristen Bell, Rachel Bloom",,4188,,8.0
Won't You Be My Neighbor?,94,"    An exploration of the life, lessons, and legacy of iconic children's television host, Fred Rogers.",2018,"Documentary, Biography            ","Fred Rogers, Joanne Rogers, John Rogers, Jim Rogers",Morgan Neville,19134,$22.61M,8.4
Life Below Zero,44,    The everyday struggles of living in the secluded state of Alaska where one wrong decision could cost you your life.,2013,"Documentary, Adventure, Reality-TV            ","James Franzo, Sue Aikens, Agnes Hailstone, Chip Hailstone",,1343,,8.1
Wild Wild Country,403,"    When the world's most controversial guru builds an utopian city deep in the Oregon country, conflict with the locals escalates into a national scandal. A true story.",2018,"Documentary, Crime            ","Ma Anand Sheela, Osho, Philip Toelkes, Jane Stork",,18662,,8.2
Inside Look: The People v. O.J. Simpson - American Crime Story,5,    Inside the series of the same name.,2016,"Documentary, Short            ","Sarah Paulson, Brad Simpson, Sterling K. Brown, Nina Jacobson",,20751,,8.4
After Porn Ends,94,    An exploration of the lives of several former adult performers who have retired from the porn industry.,2012,Documentary            ,"Amber Lynn, Asia Carrera, Bobby Slayton, Crissy Moran",Bryce Wagoner,7031,,5.7
Echo in the Canyon,82,"    A look at the roots of the historic music scene in L.A.'s Laurel Canyon featuring the music of iconic groups such as The Byrds, The Beach Boys, Buffalo Springfield, and The Mamas and the Papas.",2018,"Documentary, Music            ","Lou Adler, Fiona Apple, The Beach Boys, Beck",Andrew Slater,1439,$3.33M,7.0
Evil Genius: The True Story of America's Most Diabolical Bank Heist,192,"    The extraordinary story of the ""pizza bomber heist"" and the FBI's investigation into a bizarre collection of suspects.",2018,"Documentary, Crime            ",Star:Ann Smith,,17018,,7.6
Inside Look: The Assassination of Gianni Versace - American Crime Story,3,    An inside look at the making of American Crime Story: The Assassination of Gianni Versace.,2018,"Documentary, Short            ","Darren Criss, Ricky Martin, Penélope Cruz, Edgar Ramírez",,5818,,7.7
