title,runtime,des,date,genre,cast,director,vote,gross,rating
You,45,"    A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",2018,"Crime, Drama, Romance            ","Penn Badgley, Ambyr Childers, Elizabeth Lail, Victoria Pedretti",,87972,,7.8
Vikings,44,"    Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",2013,"Action, Adventure, Drama            ","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",,367714,,8.6
Game of Thrones,57,"    Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",2019,"Action, Adventure, Drama            ","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",,1625384,,9.3
Outlander,64,    An English combat nurse from 1945 is mysteriously swept back in time to 1743.,2014,"Drama, Fantasy, Romance            ","Caitriona Balfe, Sam Heughan, Duncan Lacroix, Tobias Menzies",,101631,,8.4
New Year's Eve,118,    The lives of several couples and singles in New York City intertwine over the course of New Year's Eve.,2011,"Comedy, Romance            ","Sarah Jessica Parker, Jessica Biel, Ashton Kutcher, Michelle Pfeiffer",Garry Marshall,78606,$54.54M,5.7
The Good Place,22,    Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,2016,"Comedy, Drama, Fantasy            ","Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden",,79297,,8.1
This Is Us,45,"    A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",2016,"Comedy, Drama, Romance            ","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",,85229,,8.7
Riverdale,45,"    While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",2017,"Crime, Drama, Mystery            ","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",,99490,,7.1
Burlesque,119,    A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,2010,"Drama, Music, Musical            ","Cher, Christina Aguilera, Alan Cumming, Eric Dane",Steve Antin,73538,$39.44M,6.4
Call Me by Your Name,132,"    In 1980s Italy, a romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",2017,"Drama, Romance            ","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar",Luca Guadagnino,172361,$18.10M,7.9
