title,runtime,des,date,rating,genre
The Mandalorian,30,"    The travails of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",2019,9.1,"Action, Adventure, Sci-Fi            "
Ford v Ferrari,152,"    American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.",2019,8.3,"Action, Biography, Drama            "
Charlie's Angels,118,"    When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",2019,3.9,"Action, Adventure, Comedy            "
Watchmen,60,"    Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.",2019,7.2,"Action, Drama, Mystery            "
Midway,138,"    The story of the Battle of Midway, told by the leaders and the sailors who fought it.",2019,6.9,"Action, Drama, History            "
See,60,"    Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.",2019,7.7,"Action, Drama, Sci-Fi            "
Star Wars: Episode IX - The Rise of Skywalker,141,    The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.,2019,0,"Action, Adventure, Fantasy            "
Jack Ryan,60,"    An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.",2018,8.2,"Action, Drama, Thriller            "
Game of Thrones,57,"    Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",2019,9.4,"Action, Adventure, Drama            "
Terminator: Dark Fate,128,"    An augmented human and Sarah Connor must stop an advanced liquid Terminator, from hunting down a young girl, who's fate is critical to the human race.",2019,6.5,"Action, Adventure, Sci-Fi            "
Gemini Man,117,    An over-the-hill hitman faces off against a younger clone of himself.,2019,5.7,"Action, Drama, Sci-Fi            "
