title,runtime,des,date,rating,genre
Rick and Morty,23,    An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,2013,9.3,"Animation, Adventure, Comedy            "
The End of the F***ing World,25,"    James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.",2017,8.1,"Adventure, Comedy, Crime            "
Shameless,46,"    A scrappy, fiercely loyal Chicago family makes no apologies.",2011,8.6,"Comedy, Drama            "
The Good Place,22,    Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,2016,8.1,"Comedy, Drama, Fantasy            "
Frozen,102,"    When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",2013,7.5,"Animation, Adventure, Comedy            "
This Is Us,45,"    A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",2016,8.7,"Comedy, Drama, Romance            "
Atypical,30,"    Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",2017,8.3,"Comedy, Drama            "
Silicon Valley,28,"    Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",2014,8.5,Comedy            
Brooklyn Nine-Nine,22,"    Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt.",2013,8.4,"Comedy, Crime            "
Schitt's Creek,22,"    When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",2015,8.3,Comedy            
BoJack Horseman,25,"    BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014,8.6,"Animation, Comedy, Drama            "
Suits,44,"    On the run from a drug deal gone bad, Mike Ross, a brilliant college dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers.",2011,8.5,"Comedy, Drama            "
Jumanji: Welcome to the Jungle,119,"    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",2017,6.9,"Action, Adventure, Comedy            "
Fleabag,27,    A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,2019,8.7,"Comedy, Drama            "
Big Mouth,30,    Teenage friends find their lives upended by the wonders and horrors of puberty.,2017,8.0,"Animation, Comedy, Romance            "
A Million Little Things,43,    A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.,2018,7.9,"Comedy, Drama, Mystery            "
Guardians of the Galaxy,121,    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014,8.0,"Action, Adventure, Comedy            "
The Marvelous Mrs. Maisel,57,    A housewife in the 1950s decides to become a stand-up comic.,2017,8.8,"Comedy, Drama            "
Orange Is the New Black,59,"    Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",2019,8.1,"Comedy, Crime, Drama            "
The Goldbergs,22,"    This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs.",2013,8.1,Comedy            
Young Sheldon,30,    Meet a child genius named Sheldon Cooper; (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon who seems socially impaired.,2017,7.3,Comedy            
Letterkenny,30,"    Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",2016,8.6,Comedy            
Bob's Burgers,22,"    Bob Belcher, along with his wife and 3 children, try to run their last hope of holding the family together, which is running Bob's dream restaurant.",2011,8.1,"Animation, Comedy            "
Baywatch,116,"    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",2017,5.5,"Action, Comedy, Crime            "
Kingsman: The Golden Circle,141,"    When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy.",2017,6.8,"Action, Adventure, Comedy            "
God Friended Me,43,    An atheist's life is turned upside down when God adds him as a friend on Facebook.,2018,6.9,"Comedy, Drama            "
Bull,60,"    Brilliant, brash, and charming, Dr. Bull is the ultimate puppet master as he combines psychology, human intuition, and high-tech data to learn what makes jurors, attorneys, witnesses, and the accused tick.",2016,6.9,"Comedy, Crime, Drama            "
