title,runtime,des,date,rating,genre
The Mandalorian,30,"    The travails of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",2019,9.1,"Action, Adventure, Sci-Fi            "
Joker,122,"    In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker"".",2019,8.8,"Crime, Drama, Thriller            "
Doctor Sleep,152,"    Years following the events of ""The Shining,"" a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",2019,7.6,"Drama, Fantasy, Horror            "
His Dark Materials,60,    Two children embark on a magical adventure through parallel universes.,2019,8.3,"Adventure, Drama, Family            "
Midway,138,"    The story of the Battle of Midway, told by the leaders and the sailors who fought it.",2019,6.9,"Action, Drama, History            "
Charlie's Angels,118,"    When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",2019,3.9,"Action, Adventure, Comedy            "
Ford v Ferrari,152,"    American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.",2019,8.3,"Action, Biography, Drama            "
Sonic the Hedgehog,152,    A cop in the rural town of Green Hills will help Sonic escape from the government who is looking to capture him.,2020,0,"Action, Adventure, Family            "
The King,140,"    Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",2019,7.3,"Biography, Drama, History            "
Jack Ryan,60,"    An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.",2018,8.2,"Action, Drama, Thriller            "
Terminator: Dark Fate,128,"    An augmented human and Sarah Connor must stop an advanced liquid Terminator, from hunting down a young girl, who's fate is critical to the human race.",2019,6.5,"Action, Adventure, Sci-Fi            "
See,60,"    Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.",2019,7.7,"Action, Drama, Sci-Fi            "
The Irishman,209,    A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.,2019,8.7,"Biography, Crime, Drama            "
Let It Snow,92,"    In a small town on Christmas Eve, a snowstorm brings together a group of young people.",2019,5.8,"Comedy, Romance            "
Watchmen,60,"    Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.",2019,7.2,"Action, Drama, Mystery            "
Rick and Morty,23,    An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,2013,9.3,"Animation, Adventure, Comedy            "
The End of the F***ing World,25,"    James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.",2017,8.1,"Adventure, Comedy, Crime            "
Last Christmas,103,"    Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",2019,6.6,"Comedy, Drama, Romance            "
American Horror Story,60,"    An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",2011,8.1,"Drama, Horror, Thriller            "
The Walking Dead,44,"    Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive.",2010,8.3,"Drama, Horror, Thriller            "
Lady and the Tramp,103,    CGI re-imagining of the 1955 Disney classic.,2019,6.4,"Adventure, Comedy, Drama            "
